modeId,metric_key（指标标识）,metric_desc_cn（指标描述）,"单位
",指标显示单位,指标类型,对应组件,对应模板位置,参考,备注,,,,,,,,,,
nagios-node,nagios.current_users.users,当前用户数。,用户,个,状态类型,数字看板,1,,,,,,,,,,,,
nagios-node,nagios.host.pl,数据包丢失。,百分比,%,百分比类型,仪表盘,2,,,,,,,,,,,,
nagios-node,nagios.host.rta,Nagios 和客户端之间的Round trip时间。,毫秒,毫秒,状态类型,数字看板,3,,,,,,,,,,,,
nagios-node,nagios.http.size,HTTP 响应大小。,字节,字节,状态类型,数字看板,4,,,,,,,,,,,,
nagios-node,nagios.http.time,HTTP 响应时间。,秒,秒,状态类型,数字看板,5,,,,,,,,,,,,
nagios-node,nagios.ping.pl,数据包丢失。,百分比,%,百分比类型,仪表盘,6,,,,,,,,,,,,
nagios-node,nagios.ping.rta,Nagios 和客户端之间的Round trip时间。,毫秒,毫秒,状态类型,数字看板,7,,,,,,,,,,,,
nagios-node,nagios.swap_usage.swap,内存交换使用情况。,兆字节,兆字节,状态类型,数字看板,8,,,,,,,,,,,,
